time,joint1_desired,joint2_desired,joint3_desired,joint4_desired,joint5_desired,joint6_desired,joint7_desired,joint1_actual,joint2_actual,joint3_actual,joint4_actual,joint5_actual,joint6_actual,joint7_actual
0.213,-0.0007245292333820025,-0.0003984910783601014,-0.000869435080058403,-1.5711009751922596,-0.001738870160116806,1.571970410272318,-0.7832819687262611,-0.00025570037091206287,0.004899865063242587,-0.00030658086802527626,-1.5756359470480799,-0.0009742015291640954,1.5704948903335425,-0.7845495838100611
0.214,-0.000734554680999342,-0.0004040050745496381,-0.0008814656171992104,-1.5711052782146318,-0.0017629312343984207,1.571986743831831,-0.7832540448470124,-0.000260157331925263,0.004903955677151013,-0.0003119191205563802,-1.5756441140924546,-0.0009856532614214537,1.5705014299903406,-0.7845367724524439
0.215,-0.000744670035658,-0.0004095685196118999,-0.0008936040427895999,-1.5711096198260046,-0.0017872080855791997,1.5720032238687944,-0.7832258705496817,-0.0002646684898578174,0.004907945068293854,-0.0003173223154778131,-1.5756522392712702,-0.0009972316469496246,1.5705080688849091,-0.7845238087851973
0.216,-0.0007548756591063858,-0.0004151816125085122,-0.000905850790927663,-1.571114000181645,-0.001811701581855326,1.5720198509725727,-0.7831974448266911,-0.0002692342051499749,0.004911833808609475,-0.000322790885680229,-1.5756603234319315,-0.0010089375833422683,1.5705148074845612,-0.784510691822235
0.217,-0.0007651719125664455,-0.000420844551911545,-0.0009182062950797344,-1.5711184194365926,-0.0018364125901594688,1.5720366257316725,-0.7831687666719287,-0.00027385483827886307,0.004915622461690653,-0.00032832526409819267,-1.5756683674144694,-0.0010207719678688026,1.5705216462579084,-0.7844974205772623
0.218,-0.0007755591567338906,-0.00042655753620363975,-0.0009306709880806689,-1.5711228777456616,-0.0018613419761613378,1.5720535487337421,-0.783139835080749,-0.0002785307497525575,0.004919311582877727,-0.000333925883703025,-1.575676372051617,-0.0010327356974652463,1.5705285856748377,-0.7844839940637938
0.219,-0.00078603775177843,-0.0004323207634781365,-0.0009432453021341161,-1.5711273752634407,-0.0018864906042682322,1.5720706205655748,-0.7831106490499716,-0.00028326230010421546,0.004922901719350749,-0.00033959317749572695,-1.575684338168885,-0.0010448296687251548,1.5705356262064896,-0.784470411295169
0.22,-0.000796608057344,-0.0004381344315392,-0.0009559296688128,-1.5711319121442926,-0.0019118593376256,1.5720878418131055,-0.7830812075778797,-0.00028804984988627363,0.004926393410220644,-0.00034532757849998135,-1.5756922665846367,-0.0010570547778906527,1.5705427683252362,-0.7844566712845698
0.221,-0.0008072704325489939,-0.0004439987379019466,-0.0009687245190587928,-1.5711364885423542,-0.0019374490381175856,1.572105213061413,-0.7830515096642213,-0.0002928937596647092,0.004929787186619381,-0.0003511295197552313,-1.5757001581101615,-0.0010694119208435556,1.5705500125046594,-0.7844427730450356
0.222,-0.0008180252359864934,-0.00044991387979257134,-0.0009816302831837922,-1.5711411046115376,-0.0019632605663675844,1.5721227348947215,-0.7830215543102068,-0.00029779439001336366,0.004933083571789164,-0.0003569994343098349,-1.5757080135497488,-0.0010819019930965866,1.5705573592195292,-0.7844287155894804
0.223,-0.0008288728257244986,-0.00045588005414847415,-0.0009946473908693982,-1.571145760505529,-0.0019892947817387965,1.5721404078963988,-0.7829913405185096,-0.0003027521015083287,0.004936283081170668,-0.0003629377552142949,-1.5757158337007593,-0.0010945258897846828,1.5705648089457827,-0.7844144979307077
0.224,-0.0008398135593061582,-0.00046189745761838694,-0.00100777627116739,-1.5711504563777896,-0.00201555254233478,1.572158232648957,-0.7829608672932645,-0.0003077672547223934,0.0049393862224903174,-0.0003689449155145632,-1.5757236193536974,-0.0011072845056563912,1.5705723621605023,-0.7844001190814271
0.225,-0.0008508477937500001,-0.00046796628656249996,-0.0010210173525,-1.5711551923815554,-0.002042034705,1.5721762097340555,-0.7829301336400681,-0.00031284021021955237,0.004942393495846623,-0.00037502134824541906,-1.575731371292282,-0.0011201787350653548,1.5705800193418964,-0.7843855780542695
0.226,-0.000861975885550162,-0.000474086737052589,-0.0010343710626601944,-1.5711599686698368,-0.0020687421253203888,1.5721943397324971,-0.782899138565977,-0.0003179713285495738,0.004945305393795585,-0.0003811674864239196,-1.575739090293516,-0.001133209471961888,1.570587780969277,-0.784370873861802
0.227,-0.0008731981906766215,-0.0004802590048721417,-0.0010478378288119458,-1.57116478539542,-0.0020956756576238915,1.5722126232242324,-0.7828678810795083,-0.000323160970242627,0.004948122401435173,-0.00038738376304292327,-1.5757467771277562,-0.001146377609884637,1.5705956475230405,-0.7843560055165444
